,PLAYER_ID,DOB,GENDER,AVG_BET,BET_TOTAL,INITIAL_AMOUNT,INITIAL_PROMO_AMOUNT,FINAL_AMOUNT,FINAL_PROMO_AMOUNT,MACHINE_ID,WIN_TOTAL,GAMES_PLAYED_TOTAL,GAMES_WON_TOTAL,TIME_ON_DEVICE_SEC,PLAYER_LEVEL_ID,AVG_BET_std,BET_TOTAL_std,INITIAL_AMOUNT_std,INITIAL_PROMO_AMOUNT_std,FINAL_AMOUNT_std,FINAL_PROMO_AMOUNT_std,WIN_TOTAL_std,GAMES_PLAYED_TOTAL_std,GAMES_WON_TOTAL_std,TIME_ON_DEVICE_SEC_std,Edad,Rango_Edad,Rango_Edad_le,Cluster
0,05EA6373-8177-49D1-97DF-1C9D984D6D55,1962-05-31,0,2.85,188.0,343.43,0.0,514.53,0.0,FBFAE8C9-8A0D-454A-B85B-654E421AB946,359.1,66.0,27.0,205.0,4,-0.42121157731440706,-0.1450857437971981,-0.03977846885219058,-0.10232710585527002,0.10611720316618414,-0.25038755974264815,-0.021308360150445536,-0.30078874156847213,-0.21388928083784006,-0.4020098479158314,63,55-64,4,0
1,F4B15461-1F02-440F-A804-D917C37D5C73,1965-12-21,0,3.53,462.0,257.4,0.0,1.25,0.0,CDF2982B-AB49-4929-8930-1B549F43B76E,205.85,131.0,28.0,355.0,4,-0.33433832829640797,-0.09092827466689013,-0.3378367916907809,-0.10232710585527002,-0.17060395400305664,-0.25038755974264815,-0.0315488411905735,-0.023160287678482824,-0.20058189895416284,-0.2646059847002099,59,55-64,4,0
2,36C5A8A9-50C9-433C-B12C-9DA7A051FD99,1965-07-31,0,6.25,81.3,275.6,300.0,199.05,300.0,B4EF4C58-430F-4C9F-A431-0355C9EDC042,4.75,13.0,2.0,68.0,1,0.013154667775588554,-0.16617553195852608,-0.27478132876317013,0.8297835544372778,-0.06396538462946749,3.198303098092457,-0.04498675790946248,-0.5271627116633865,-0.5465738279297708,-0.5275053763194323,60,55-64,4,0
3,D9AA1CBC-B0C8-4D68-B5DF-91A1CE2D9DDA,1997-02-06,1,14.81,59.25,68.94,0.0,15.94,0.0,C2D95FF0-39EF-4ED4-A081-D481E18AC8F4,6.25,4.0,3.0,113.0,2,1.1067355671786365,-0.17053382463853808,-0.9907726457203136,-0.10232710585527002,-0.16268423416434064,-0.25038755974264815,-0.04488652481608439,-0.5656035745096927,-0.5332664460460935,-0.48628421735474586,28,25-34,1,1
5,3A377E26-791D-4A13-9FE9-99F5139C0964,1960-03-02,0,13.6,149.6,640.4,0.0,500.8,0.0,5B7842D6-D07B-44B3-928F-4976292EAD73,10.0,11.0,2.0,49.0,1,0.9521522858377849,-0.15267569567531428,0.9890995984891569,-0.10232710585527002,0.09871504160147547,-0.25038755974264815,-0.04463594208263917,-0.5357051256292323,-0.5465738279297708,-0.5449098656600777,65,65+,5,3
6,06A51DAE-7769-48D9-A22E-B286B3148A63,1966-06-17,1,19.03,2264.0,1031.44,0.0,0.64,0.0,FF19E451-6E89-49F4-A7AF-93297E37133A,1233.2,119.0,15.0,498.0,8,1.6458607302021016,0.2652460296134565,2.343891259105248,-0.10232710585527002,-0.17093281915633213,-0.25038755974264815,0.03710080446407882,-0.07441477147355777,-0.3735778634419668,-0.13361430176798414,59,55-64,4,3
7,EEAD876E-F025-4845-BB07-87BA80FA93E7,1963-05-09,0,6.46,1485.0,503.08,0.0,413.58,0.0,FEAD1329-51D4-425F-8BFC-8B6949F66A34,1395.5,230.0,41.0,621.0,5,0.03998317114879416,0.11127278708604806,0.5133426661144597,-0.10232710585527002,0.051692715915103146,-0.25038755974264815,0.04794602516758792,0.3996892036308855,-0.027585934466358847,-0.02094313393117456,62,55-64,4,0
8,816C9F35-CE93-4718-8F16-D71061551310,1969-06-09,0,12.5,487.5,308.46,200.0,41.46,200.0,D471E1BE-65F7-4BE4-B038-D613F7E12C21,220.5,39.0,5.0,122.0,1,0.8116220300733746,-0.08588807224782863,-0.16093503690595679,0.5190800010064286,-0.1489258100469797,2.0487395454807555,-0.03056989797858085,-0.41611133010739076,-0.5066516822787391,-0.4780399855618086,56,55-64,4,0
9,B0929C40-B933-441B-8C52-A647267CDA0D,1985-03-15,0,0.0,0.0,39.09,0.0,39.09,0.0,F114B243-B41A-4706-A4F1-09E4E69533F1,0.0,0.0,0.0,13.0,1,-0.7853126945221974,-0.18224488320047513,-1.0941905340933453,-0.10232710585527002,-0.15020353203593526,-0.25038755974264815,-0.04530416270515975,-0.5826884024413843,-0.5731885916971252,-0.5778867928318269,40,35-44,2,1
10,84F9F2AC-1308-422B-966F-CF478A7669ED,1958-02-18,0,4.4,211.2,500.7,0.0,349.5,0.0,27E71E13-B0A5-49B2-B45A-2EA03B2234A9,60.0,48.0,22.0,92.0,1,-0.22319167146455607,-0.14050014787083626,0.5050969517316183,-0.10232710585527002,0.01714570112511533,-0.25038755974264815,-0.041294838970036246,-0.37767046726108455,-0.2804261902562262,-0.5055207582049328,67,65+,5,0
11,F8E04F0B-8433-4184-AD8E-85D2B63F806D,1951-06-08,0,1.4,153.0,89.48,0.0,0.23,0.0,117CC992-0D0E-4AEE-BDFB-832D1DCEA21F,63.75,109.0,32.0,384.0,7,-0.6064560053674934,-0.15200366868610607,-0.9196100518448673,-0.10232710585527002,-0.1711538596691894,-0.25038755974264815,-0.041044256236591026,-0.11712684130278689,-0.14735237141945393,-0.23804123781185646,74,65+,5,0
12,B32AA2B2-3027-4A7D-B7EB-53D6025DFC9E,1959-11-26,0,43.48,15304.5,1005.7,0.0,2.05,0.0,6D8F552F-1052-455E-94D3-416C38AF298B,14300.85,352.0,119.0,1423.0,5,4.76946505151104,2.8427660157221473,2.254712818679056,-0.10232710585527002,-0.17017265544138388,-0.25038755974264815,0.9103081262521915,0.9207764555474808,1.010389852460465,0.7137095213950148,65,65+,5,3
13,F48B98EB-2EB7-4E70-A7D6-3D9D094C272D,1973-02-03,0,2.62,261.5,222.85,250.0,202.25,250.0,722D9D1C-8666-4208-A73F-AC2912E0FAE1,240.9,100.0,18.0,325.0,1,-0.45059517624696555,-0.1305581015304914,-0.4575382336769867,0.6744317777218533,-0.06224019038277648,2.6235213217866065,-0.029206727908638857,-0.1555677041490931,-0.3336557177909351,-0.2920867573433342,52,45-54,3,1
14,05EA6373-8177-49D1-97DF-1C9D984D6D55,1962-05-31,0,5.95,404.8,301.28,0.0,1.23,0.0,606C465B-40F8-4AF8-BD2D-62D61195F2AA,104.75,68.0,38.0,110.0,4,-0.025171765614705154,-0.102234140485334,-0.18581076348948672,-0.10232710585527002,-0.17061473646709843,-0.25038755974264815,-0.03830455168425662,-0.2922463276026263,-0.06750808011739054,-0.4890322946190583,63,55-64,4,0
15,82B0FFB8-20BE-47AF-B6E2-F9329E461526,1960-02-15,0,4.33,186.0,286.51,0.0,567.51,0.0,355C8FD7-FA5F-44C2-9921-8B1237350414,467.0,43.0,24.0,245.0,8,-0.23213450592229132,-0.14548105379085,-0.23698269686535528,-0.10232710585527002,0.1346799504129625,-0.25038755974264815,-0.014098259633448424,-0.3990265021756991,-0.2538114264888717,-0.36536881772499896,65,65+,5,0
16,66DCDDFA-8D8F-4AEE-9319-41372CA52B50,1962-07-13,1,0.46,2.3,2.35,0.0,0.05,0.0,7B7232FD-04EE-4A80-94FB-0563B2182D8F,0.0,5.0,0.0,38.0,1,-0.7265454966570805,-0.18179027670777548,-1.2214794191461154,-0.10232710585527002,-0.17125090184556577,-0.25038755974264815,-0.04530416270515975,-0.5613323675267697,-0.5731885916971252,-0.5549861489625566,63,55-64,4,0
17,95FF6B0B-E8DE-4794-AF73-EE84DBBBE36D,1970-01-06,1,1.0,23.0,16.1,0.0,0.25,0.0,70F87B1F-9741-402F-AADE-2CAC46281851,7.15,23.0,11.0,76.0,3,-0.6575579165545518,-0.17769881827347847,-1.173841363362893,-0.10232710585527002,-0.17114307720514757,-0.25038755974264815,-0.04482638496005754,-0.48445064183415737,-0.42680739097667575,-0.5201771702812659,55,55-64,4,0
18,9DF7935A-A625-4385-A143-07F21F756FD8,1976-06-30,0,4.35,1088.5,415.51,300.0,1196.51,300.0,88EB868D-F586-4B64-B555-5611635290E1,1869.5,250.0,33.0,1974.0,7,-0.22957941036293844,0.03290258084456223,0.20994888102814857,0.8297835544372778,0.4737884445281676,3.198303098092457,0.07961968267506365,0.48511334328934375,-0.13404498953577668,1.218439712273731,49,45-54,3,1
19,5D6BED47-6311-43CB-A753-676BFA9E25DD,1964-02-09,0,0.0,0.0,500.68,0.0,500.68,0.0,F4578124-6235-44D8-8F69-56FFEB33FA90,0.0,0.0,0.0,20.0,4,-0.7853126945221974,-0.18224488320047513,0.5050276600141155,-0.10232710585527002,0.09865034681722457,-0.25038755974264815,-0.04530416270515975,-0.5826884024413843,-0.5731885916971252,-0.5714746125484311,61,55-64,4,0
20,E9A10374-5D61-487A-A2B9-6E3F4014622E,1944-12-23,1,4.4,998.8,902.0,0.0,902.75,0.0,37217235-6A8D-461C-897C-F472C13E51AE,999.55,227.0,47.0,1001.0,3,-0.22319167146455607,0.015172927629275272,1.8954352634266811,-0.10232710585527002,0.31541561268193125,-0.25038755974264815,0.02148782961888534,0.38687558268211675,0.05225835683570453,0.3271466528817331,80,65+,5,3
21,4CB872FF-EAD1-422A-9CF8-520F646C016C,1968-04-19,0,2.26,223.74,102.25,0.0,200.01,0.0,F114B243-B41A-4706-A4F1-09E4E69533F1,321.5,99.0,43.0,1024.0,2,-0.49658689631531805,-0.13802155421063897,-0.8753672902192856,-0.10232710585527002,-0.0634478263554602,-0.25038755974264815,-0.023820869691122938,-0.159838911132016,-0.0009711706990043861,0.34821524524146175,57,55-64,4,0
22,05EA6373-8177-49D1-97DF-1C9D984D6D55,1962-05-31,0,4.98,273.75,201.76,0.0,3.51,0.0,D471E1BE-65F7-4BE4-B038-D613F7E12C21,75.5,55.0,22.0,100.0,4,-0.1490939002433215,-0.12813682781937363,-0.5306063497837619,-0.10232710585527002,-0.1693855355663311,-0.25038755974264815,-0.040259097005129335,-0.34777201838062416,-0.2804261902562262,-0.4981925521667664,63,55-64,4,0
23,5D6BED47-6311-43CB-A753-676BFA9E25DD,1964-02-09,0,2.5,252.5,1101.54,0.0,1000.24,0.0,6A14F33E-0C4B-40C4-A930-A3CEDDDAB317,151.2,101.0,32.0,295.0,4,-0.4659257496030831,-0.13233699650192488,2.586758728952803,-0.10232710585527002,0.3679747336537776,-0.25038755974264815,-0.0352006668926485,-0.1512964971661702,-0.14735237141945393,-0.3195675299864585,61,55-64,4,3
24,5D6BED47-6311-43CB-A753-676BFA9E25DD,1964-02-09,0,2.0,38.0,411.51,0.0,391.51,0.0,D9B2A6A5-7488-482A-BC78-EDC5069C84BF,18.0,19.0,3.0,50.0,4,-0.529803138586906,-0.17473399332108935,0.1960905375275748,-0.10232710585527002,0.03979426684495597,-0.25038755974264815,-0.0441013655846227,-0.501535469765849,-0.5332664460460935,-0.5439938399053069,61,55-64,4,0
25,F572C56A-255B-4A68-A970-895B3A46B9EE,1983-04-09,1,9.63,674.0,204.67,0.0,1503.67,0.0,47EE8AA8-2094-4F4F-B631-446E5DEAD14F,1973.0,70.0,12.0,258.0,4,0.44496581730623136,-0.049025415339790525,-0.5205244048870945,-0.10232710585527002,0.6393855272824226,-0.25038755974264815,0.08653576611815171,-0.2837039136367805,-0.4135000090929985,-0.35346048291297844,42,35-44,2,1
26,AAD5F32F-0A61-45FB-873C-C8D8469F5671,1980-02-18,1,4.97,213.6,153.62,0.0,1.77,0.0,A3E60235-CF76-4D97-AD9D-8CBF84692D6E,61.75,43.0,19.0,83.0,1,-0.15037144802299807,-0.140025775878454,-0.6973915138131671,-0.10232710585527002,-0.17032360993796936,-0.25038755974264815,-0.04117790036109514,-0.3990265021756991,-0.3203483359072579,-0.5137649899978701,45,45-54,3,1
27,3944173B-7050-40EE-89F5-E797E09580BE,1950-02-19,1,2.42,326.75,100.78,0.0,216.53,0.0,1D6BB8BA-421D-48A2-8A4D-A737D71006A4,442.5,135.0,35.0,688.0,2,-0.47614613184049476,-0.11766111298759872,-0.8804602314557465,-0.10232710585527002,-0.05454151105691776,-0.25038755974264815,-0.015735400158623857,-0.006075459746791175,-0.10743022576842222,0.04043059163846969,75,65+,5,0
28,A4C379C3-F2AD-4155-9A3E-CA3A0946E023,1970-10-20,0,4.89,454.82,300.88,0.0,0.06,0.0,AA9BB339-8855-4A32-93C2-BB4790D03B7A,154.0,93.0,35.0,363.0,1,-0.16059183026040974,-0.0923474375441004,-0.187196597839544,-0.10232710585527002,-0.17124551061354487,-0.25038755974264815,-0.03501356511834274,-0.1854661530295535,-0.10743022576842222,-0.25727777866204343,54,45-54,3,1
29,A127A664-22DA-41DC-A14D-8521CC50292F,2000-09-26,1,2.11,845.5,243.84,100.0,444.59,100.0,A215EED4-BC1D-4C59-AD65-171FCCE7902C,1046.25,400.0,79.0,3364.0,2,-0.5157501130104649,-0.015127583384141555,-0.38481657615772585,0.20837644757557927,0.06841092641194338,0.8991759928690536,0.024608419926056477,1.1257943907277808,0.4780945771133759,2.4917155114051566,24,18-24,0,1
